Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,53,53,1633,12.8,23.1,.553,1.7,5.5,.317,11.0,17.6,.626,7.4,11.9,.622,2.7,13.2,16.0,6.8,1.2,1.3,4.3,3.6,34.7
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,16,1,70,8.2,14.9,.552,0.0,2.1,.000,8.2,12.9,.640,2.1,4.6,.444,3.6,2.6,6.2,3.1,2.1,0.5,3.1,5.1,18.5
15,Carmelo Anthony\anthoca01,PF,35,POR,44,44,1440,6.4,15.3,.421,1.6,4.4,.360,4.8,10.8,.446,2.5,3.0,.850,1.4,5.7,7.1,1.6,0.9,0.5,1.9,3.2,17.0
16,OG Anunoby\anunoog01,SF,22,TOR,58,57,1710,5.0,10.1,.497,1.5,4.1,.367,3.5,6.0,.587,1.1,1.6,.680,1.4,5.2,6.6,2.0,1.6,0.8,1.5,2.9,12.6
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,55,4,866,3.4,8.5,.395,2.1,5.4,.382,1.3,3.1,.419,1.0,1.4,.735,0.7,3.5,4.2,3.7,1.0,0.1,1.5,3.8,9.9
18,Trevor Ariza\arizatr01,SF,34,TOT,47,15,1283,3.3,7.7,.436,1.8,4.8,.366,1.6,2.8,.554,1.2,1.4,.824,0.8,5.2,6.1,2.2,1.7,0.3,1.3,2.7,9.6
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,2.9,7.5,.388,2.0,5.6,.352,1.0,2.0,.488,1.0,1.2,.778,1.0,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
18,Trevor Ariza\arizatr01,SF,34,POR,15,15,492,4.0,7.9,.509,1.5,3.7,.400,2.6,4.2,.603,1.5,1.8,.875,0.7,4.5,5.2,2.0,1.9,0.4,1.3,2.5,11.0
19,D.J. Augustin\augusdj01,PG,32,ORL,43,6,1080,4.5,11.6,.388,1.7,5.0,.340,2.8,6.6,.424,3.9,4.5,.881,0.5,2.8,3.3,6.4,1.0,0.0,2.0,1.6,14.6
20,Deandre Ayton\aytonde01,C,21,PHO,28,23,924,9.4,16.9,.556,0.0,0.1,.000,9.4,16.8,.560,2.1,2.7,.768,4.6,8.5,13.1,2.2,0.7,1.8,2.4,3.4,20.9
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,4.5,12.8,.348,1.0,3.5,.284,3.5,9.3,.373,1.8,2.8,.660,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
22,Marvin Bagley\baglema01,PF,20,SAC,13,6,334,8.4,18.0,.467,0.4,2.4,.182,8.0,15.6,.510,2.7,3.3,.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
23,Lonzo Ball\balllo01,PG,22,NOP,51,42,1636,4.9,12.3,.397,2.6,7.0,.366,2.3,5.2,.439,0.7,1.2,.571,1.2,5.6,6.8,7.8,1.5,0.6,3.3,2.2,13.0
24,Mo Bamba\bambamo01,C,21,ORL,54,0,802,5.4,11.5,.473,1.5,4.2,.351,4.0,7.3,.543,1.2,1.8,.692,3.9,8.3,12.2,1.6,0.9,3.7,1.8,4.8,13.6
25,J.J. Barea\bareajo01,PG,35,DAL,21,4,325,7.8,17.5,.443,3.1,7.1,.438,4.7,10.4,.447,1.8,1.8,1.000,1.1,3.8,4.9,8.8,0.4,0.2,3.4,2.0,20.4
26,Harrison Barnes\barneha02,PF,27,SAC,59,59,2056,5.3,11.6,.460,1.5,4.0,.372,3.9,7.6,.506,3.2,4.0,.804,0.9,3.9,4.9,2.4,0.6,0.2,1.3,1.3,15.4
