Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
74,Thomas Bryant\bryanth01,C,22,WAS,33,23,24.3,5.1,8.5,.594,0.5,1.4,.362,4.5,7.1,.641,.625,1.8,2.5,.716,2.1,5.0,7.1,2.0,0.3,0.8,1.3,2.2,12.4
75,Reggie Bullock\bullore01,SG,28,NYK,25,19,24.5,3.4,8.5,.396,1.4,4.2,.340,1.9,4.2,.453,.481,0.6,0.8,.842,0.5,1.8,2.3,1.4,1.0,0.0,0.6,2.1,8.8
76,Trey Burke\burketr01,PG,27,PHI,25,0,13.2,2.4,5.1,.465,0.6,1.5,.421,1.7,3.6,.483,.528,0.5,0.7,.722,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9
77,Alec Burks\burksal01,SG,28,TOT,54,18,27.9,4.9,12.1,.404,1.7,4.6,.366,3.2,7.6,.427,.473,3.9,4.3,.897,0.7,3.7,4.5,3.0,1.0,0.3,1.5,2.1,15.4
77,Alec Burks\burksal01,SG,28,GSW,48,18,29.0,5.1,12.5,.406,1.8,4.7,.375,3.3,7.9,.424,.476,4.2,4.7,.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1
77,Alec Burks\burksal01,SG,28,PHI,6,0,19.5,3.5,9.2,.382,1.0,3.7,.273,2.5,5.5,.455,.436,1.3,1.5,.889,0.3,2.2,2.5,1.7,0.7,0.0,0.5,1.5,9.3
78,Deonte Burton\burtode02,SG,26,OKC,32,0,8.6,1.2,3.2,.363,0.3,1.4,.205,0.9,1.8,.483,.407,0.2,0.4,.500,0.2,1.3,1.4,0.3,0.2,0.3,0.4,0.9,2.8
79,Jimmy Butler\butleji01,SF,30,MIA,49,49,34.4,6.2,13.6,.455,0.6,2.3,.246,5.6,11.2,.498,.476,7.7,9.2,.838,1.8,4.9,6.8,6.2,1.7,0.6,2.3,1.4,20.6
80,Bruno Caboclo\cabocbr01,SF,24,TOT,25,0,8.2,1.2,2.9,.403,0.2,1.1,.148,1.0,1.8,.556,.431,0.2,0.2,.800,0.8,1.2,1.9,0.4,0.5,0.6,0.4,1.0,2.6
80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,0,8.7,1.3,3.1,.406,0.2,1.1,.160,1.1,2.0,.545,.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8
80,Bruno Caboclo\cabocbr01,SF,24,HOU,3,0,4.7,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.7,0.7,1.000,0.7,0.7,1.3,0.0,0.7,0.7,0.7,0.3,1.3
81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,57,20,25.4,3.5,7.4,.470,1.4,3.6,.404,2.0,3.8,.532,.568,1.2,1.6,.780,0.6,1.5,2.1,1.7,0.9,0.2,0.9,1.8,9.6
82,Vlatko Čančar\cancavl01,SF,22,DEN,12,0,3.5,0.5,1.3,.400,0.1,0.5,.167,0.4,0.8,.556,.433,0.3,0.3,1.000,0.4,0.4,0.8,0.3,0.1,0.1,0.3,0.6,1.4
83,Clint Capela\capelca01,C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
84,DeMarre Carroll\carrode01,SF,33,TOT,18,0,10.1,0.7,2.2,.325,0.3,1.2,.238,0.4,1.1,.421,.388,0.8,1.4,.560,0.5,1.8,2.3,0.9,0.2,0.2,0.8,1.3,2.5
84,DeMarre Carroll\carrode01,SF,33,SAS,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
84,DeMarre Carroll\carrode01,SF,33,HOU,3,0,15.3,1.3,3.7,.364,0.7,2.7,.250,0.7,1.0,.667,.455,0.7,1.7,.400,0.7,3.0,3.7,1.7,0.7,0.7,1.7,1.0,4.0
85,Jevon Carter\carteje01,PG,24,PHO,45,2,14.4,1.5,3.8,.401,0.9,2.2,.412,0.6,1.7,.387,.517,0.3,0.4,.833,0.5,1.4,1.9,1.4,0.8,0.2,0.6,1.4,4.3
86,Vince Carter\cartevi01,SF,43,ATL,54,0,14.5,1.7,5.0,.351,0.9,3.2,.291,0.8,1.7,.462,.446,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.5,0.6,1.5,4.9
87,Wendell Carter\cartewe01,C,20,CHI,37,37,30.0,4.5,8.4,.537,0.2,0.8,.214,4.3,7.6,.569,.547,2.6,3.5,.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7
88,Michael Carter-Williams\cartemi01,SG,28,ORL,36,0,17.8,2.2,5.4,.410,0.4,1.4,.255,1.9,4.0,.465,.444,1.5,1.9,.794,1.1,2.3,3.4,2.5,1.1,0.5,1.0,1.8,6.3
89,Alex Caruso\carusal01,PG,25,LAL,54,0,18.0,1.9,4.5,.420,0.6,1.9,.347,1.3,2.7,.472,.492,1.0,1.3,.764,0.2,1.7,1.9,1.8,1.1,0.3,0.8,1.5,5.5
90,Willie Cauley-Stein\caulewi01,C,26,TOT,50,39,21.0,3.3,5.8,.574,0.0,0.0,.000,3.3,5.8,.576,.574,0.8,1.3,.619,1.6,4.3,5.9,1.3,1.0,1.2,0.8,2.4,7.5
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
90,Willie Cauley-Stein\caulewi01,C,26,DAL,9,2,12.3,2.6,3.8,.676,0.0,0.1,.000,2.6,3.7,.697,.676,0.4,0.7,.667,1.0,3.6,4.6,0.8,0.4,0.9,0.4,1.8,5.6
91,Tyson Chandler\chandty01,C,37,HOU,26,5,8.4,0.5,0.7,.778,0.0,0.0,,0.5,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3
92,Wilson Chandler\chandwi01,SF,32,BRK,29,0,21.1,2.2,5.3,.416,1.0,3.4,.296,1.2,1.9,.625,.510,0.6,0.7,.857,0.4,4.0,4.4,1.1,0.6,0.4,1.0,2.2,6.0
